State,County,Year,median_aqi,sample_weight,Median_Household_Income
New Mexico,Eddy,2025,51,1.0,78426.0
New Mexico,Lea,2025,47,1.0,68015.0
New Mexico,Lincoln,2025,11,0.1055555555555555,53303.0
New Mexico,Los Alamos,2025,10,0.1111111111111111,147139.0
New Mexico,Luna,2025,19,1.0,36419.0
New Mexico,Rio Arriba,2025,45,1.0,57155.0
New Mexico,San Juan,2025,49,1.0,55872.0
New Mexico,Sandoval,2025,47,1.0,86636.0
New Mexico,Santa Fe,2025,46,1.0,79071.0
New Mexico,Socorro,2025,12,0.1111111111111111,36570.0
New Mexico,Taos,2025,14,1.0,58950.0
New Mexico,Valencia,2025,48,1.0,58933.0
New York,Albany,2025,39,1.0,85333.0
New York,Bronx,2025,47,1.0,48676.0
New York,Chautauqua,2025,39,1.0,58351.0
New York,Dutchess,2025,37,1.0,99478.0
New York,Erie,2025,44,1.0,72839.0
New York,Essex,2025,42,1.0,71661.0
New York,Hamilton,2025,36,1.0,68835.0
New York,Jefferson,2025,36,1.0,66301.0
New York,Kings,2025,44,1.0,80263.0
New York,Monroe,2025,41,1.0,76382.0
New York,Nassau,2025,31,0.0055555555555555,146202.0
New York,New York,2025,43,1.0,103931.0
New York,Niagara,2025,37,1.0,69633.0
New York,Oneida,2025,28,1.0,70154.0
New York,Onondaga,2025,39,1.0,76945.0
New York,Orange,2025,28,1.0,97178.0
New York,Oswego,2025,35,1.0,69183.0
New York,Putnam,2025,35,1.0,126257.0
New York,Queens,2025,44,1.0,86136.0
New York,Richmond,2025,41,1.0,98333.0
